sentence,label
Summer is really ending. It's raining.,love
@TheBarmyArmy looking forward to div  next year @AndyBarmyArmy? #revenge #leictershireaway #therey,anger
someone teach me how to cheer someone up,joy
@JackHoward the Christmas episode genuinely had me in tears of laughter,joy
@thereallilza  wut itell u yesterday lol,love
@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel to give me my keys back. They aren't for my house! ,fear
"Always be #cheerful, #smile often make others happy, care for others, help who feel helpless and #vulnerable. Life feels good #leadership",joy
gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?,love
"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz",love
At least I don't have a guy trying to discourage me anymore in what I want to do he will never become anything worth contributing to society,sadness
Pug just woke me from an incredible sleep!,surprise
Glad to be home I wish I could make @CBrown7785 feel better,surprise
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,joy
I guess #bradangelina &gt; #anger &gt; #blacklivesmatter,anger
@ashleynwinters I don't like the statement but I love the optimism,joy
Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,surprise
"@AskPS_UK not received verification email, asked for it to be resent  times still nothing.",anger
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",sadness
what a bad day,fear
Lisa: Getting what you want all the time will ultimately leave you unfulfilled and joyless.,sadness
"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",sadness
im quite upset do I really look under 15 :| they must have thought i was 14 or something ! Whatt ! thats unfair,surprise
@jprestonian It feels not good.,fear
HD full again...  http://plurk.com/p/x2eb3,surprise
@oacademybham since when the fuck can you not stand at a concert? ,anger
2 more weeks of school not including weekends. omg right on. im so excited yet scared. omg. ahhhh. i can't wait to grad.,love
@markhberman @LanceZierlein @blessing entire team from coaches on down played and coached scared from jumpstreet. #intimidated,fear
ya girl is ,anger
@imfunsizee and jarita i'm going home now and i'm with two hot guys  drool.,love
Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn,anger
@Freepenalties @TMortimerFtbl Doll is a vile creature on the touchline. Every game he has tantrums &amp; shouts at the ref. Would love to see,anger
My @timehop literally cracks me up when I see posts from  years ago and later ?? ,joy
Photovia secondstar05) i dreamt i was doing spells from harry potter yesterday night lol  i loved it. http://tumblr.com/xyt1qynya,love
"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety  #pain",sadness
@jimadair Guitar shop owners everywhere rejoice,joy
Super shitting it about this tattoo ,fear
"@ChronAVT ummm, the blog says 'with Simon Stehr faking th'...I'll expect an investigation forthwith. This is an #outrage",anger
"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =((",fear
Think I really broke young bull hurt ???????? u can tell by how bitter and mad he is ????????,anger
@PhilipOakley excellent suggestion! I hadn't used `cherry-pick` before but that worked quite well. If you post as an answer I'll accept.,surprise
ìSet up as an ideal the facing of reality as honestly and as cheerfully as possible.î - Karl Menninger     #ndHalfWealth,joy
"played a bit pool with my buddies....going to bed now, have to work tomorrow",love
sorry Main twitter im in depress,sadness
after I said hi how are you she did at double take &amp; left. Damn it I should have let her look around first,surprise
It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh ??,sadness
@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.,sadness
just left work. inventory was way easy  and I got to put in my highschool musical 3 cd! it was amazing. goodnight goodnight everyone :],surprise
@wethedan http://twitpic.com/3pb8j - hahahahahahaha why have i never seen this pic?!?!?!?! lmao!! hey look too cute,love
"@glacierqxeen \n\n'Whoo, welcome~!' He greeted cheerfully.",joy
Its coming out the socket  I feel like my phones hole is not a virgin. That's how loose it is... :'(,surprise
hitting your children as discipline because you're being quite a raging hypocrite if you're not.,anger
getting rained out @ the devon horse show.  *head desk*,anger
"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged",sadness
"#Determine to #start putting the Word in your #heart #consistently. Every day a #line here, a line there--a tape here, a #tape there ??",fear
Successful people always have two things on their lips #silence nd #smile smile to avoid problems nd silence to avoid the problems too,joy
"@shimian lol. DK has actually dropped from top of the table, surprisingly Arms Warrior is top of the DPS at the moment ",fear
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,anger
"@myucan91 wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke",surprise
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,sadness
@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next  months.,sadness
I am now eating one of those big subway cookies with a glass of warm milk. YUM,surprise
@Sims3Nieuws just have been away for 2 years: not playing sims but World of Warcraft,surprise
@mytvnetwork pansy  wtf codeh?!,surprise
@heavenlyriot Girls are confusing.,love
Excellent! Thanks for the additional detail Sean!,love
@shwood @mpforstein OMD you  are cracking me up! Thanks for the follow Brian. I need some levity to balance the cynicism I share w/Michael??,joy
How's the new #BatmanTelltaleSeries? Looks good but I'm growing weary of this #gaming style... #Batman,sadness
morning the sun is back!!! me like,surprise
Very scary! O_O,fear
uploading a lot of photos... priceless memories,surprise
Does she really need to pout all the time - getting on my nerves #GBBO,anger
@SusannahSpot I could pop round #nightmare,fear
Can we go back  weeks and start again ?? This is seriously dreadful,sadness
"@DrColJ @drshow #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",fear
@cathyah I love it...that's going to be one of my new fave quotes.,love
i feel really weird,love
I just installed AndroidStudio in my System I am trying to create my Very First Project . I set up JAVA_HOME and Android SDK path that has been used previuosly by eclipse in Android Studio ,surprise
@PuseLepuru it's the irritation of not having found the corpse,anger
"??When #life shows you have a hundred reasons to cry, show it that you have a hundred and one reasons to #smile. ?? #quotes @Mind_Console",joy
Headed to MDW w/ layover in SLC. Got off for food. Wrong move. Bailed on my food &amp; barely made it. @SouthwestAir #WannaGetAway #Contest #sad,sadness
White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.,fear
@Impala_Guy Maybe we will meet later again my friend - would luv too )) I√Ø¬ø¬Ωm still at the office and have a lot of work,love
I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now,sadness
What a grim night #GetTheFireLit ??,sadness
Eh.. it's cold,sadness
@CUTEFUNNYANIMAL @luvcaps My sister's dog does this. I think it's because she knows it'll provoke a reaction,anger
Watch this amazing live.ly broadcast by @maisiev #lively #musically,joy
Connivers blind to existential fury,anger
How Do You Sleep - Jesse McCartney,surprise
I'm going to blow ticketmaster up. I had 8th row tickets for @taylorswift13 and ticketmaster messed up. Just like my life.  im sad,love
Who allowed Pereira to start taking all the set pieces? fuming,anger
back on the twit. much hw's to do... will post something interesting when i think of it,love
Spend a great time with family and friends. Thanks you guys,love
Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,fear
Getting to play golf with our kickin' Leadership Team...I have a feeling they r gonna kick me on the golf course,surprise
Excellent tips,joy
@chuybe again your fault  i didnt make u leave,love
Sky,joy
11 days till county raly  i had 2 tak 3 from 14 it took me a while,surprise
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks ,anger
@citizenDave You're not going? Awww,fear
No   stresses 'Brexit means Brexit' after Tory peer says Lords could cause delay  ¬† #Politicspic.twitter.com/ iBhHxwKQ ,joy
I aspire to have Val's self confidence and optimism tbh ???? #GBBO,joy
Watch this amazing live.ly broadcast by @mrgummyking #lively #musically,joy
"A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu #FallSongs",anger
@monica058 Happy Anoop Day to you too Monica,surprise
@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,anger
It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.,joy
Another one popped up a human being. Congrats Nana and Wan.  Baby Iris is a cutie.,love
@TDYLN sadly not :(,sadness
Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!,surprise
"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",sadness
excellent adding! for debugging,fear
please please please please let my match be cancelled today. PLEASE,surprise
If you want to search give Red Gate's excellent tool a try (its free!) but it's only for SQL Server though.,sadness
"@tariqmateen but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement",fear
@Norn_IronMaiden @forest_frends It's hilarious,joy
Ever put your fist through your laptops screen? If so its time for a new one lmao   #hp,anger
"we never taste happiness in perfection, our most fortunate successes are mixed with sadness. #success  #perfection #fortunate #mixed",sadness
@tom_howarth hehehehe I will keep silent now,love
My 2 favorite things. Fuzzball and Swine Flu  http://tinyurl.com/dhpol7,love
That's really an excellent post,fear
"Goooooodmoring , I don't want to be up I am YAT   happy birthday again @its_aygee !",love
Multitasking .... I may have to induce these seeds of mine to sleep. ,fear
What to do what to do!!!! need to do my show reel nxt week...then start applying for editing jobs  Rock climbing tomos I hope,surprise
Riggs dumb ass hell lolol #hilarious #LethalWeapon,joy
I love my black people..... I really really do. But .... my people really do irritate the living hell outta me all cause I'm different. ??,anger
Just got back from 5km run!  It was really good!,surprise
Pug just woke me from an incredible sleep!,love
"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem",sadness
"Really planned on making videos this week. Then. A tv died, phone broke, truck died, #depression took over. I'm wondering what I did  karma",sadness
@fedexwifey oh no! thanks for that blog entry but I ordered mine a  few days ago! I feel so dumb,anger
morning again! I hate mornings. So offensive!,sadness
"Got fully denied tonight  sleep time now, lnd in morn!",love
@MysticFearie I want chocolate!,love
This makes me assume that I'm not facing a Monotouch issue but a basic (mis)behavior of XIBs/Cocoatouch. So the answer is: no,love
lost  lbs since I got married (eating healthy) &amp; ive gone from a : mile to a : mile in  weeks. #areyousureimagedout #fitness,sadness
"@podagraph Wait a min, u pretty much home til u jump the pond? I have 1 wk 2 go. If I could find a cheap flt  It's a thought, haha.",surprise
@aimzsta hehehehe oh i love the Purate ENglish sooo much,anger
"@komaebun He just has that way of thinking, he wants absolute hope born from absolute despair.",sadness
"if you have been on depression too u shouldn't be judging him and exposing him to everyone, but helping him",sadness
@MCFCDenver doing the exact same minus the beer sadly,sadness
 days until #GoPackGo and  days until #GoGipeGo..... I'm so excited! ,joy
Watching It Follows.  This is a super freaky movie.  #horror #scary,fear
im having the worst week ever and i cant even go home yet to just sulk in my bed,sadness
OMGZZZ i just realised homer simspon aint real :O  haha !,surprise
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",fear
mm nothing like a good old fashioned panic induced cry on your living room floor,fear
"By the way, I'm wearing the smile you gave me today. \n #you #me ",joy
awwww it ovber!!!,surprise
@all_is_one84 Those suck so bad.,love
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,surprise
Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,anger
@TampaBayRay I cried with laughter.,joy
@DEAP215 were you roaming?? Same thing happen to me  so I switched to AT&amp;T.,surprise
"Hey @PapaJohnsUK I've been charged £. on my credit card  an order which never arrived last Friday, any chance of a refund!! #nightmare",fear
Working   But it's Fridaaaayyyyy,anger
@kouzrah etherreal WAS my main preoccupation. Now it's EtherREAL's preoccupation... humm... me ? schizophrenic ?,love
"#GoodAfternoon! ^^ Doesn't matter whn you #start something, as long as you start it #today. 'Age' only exists in the mind. You are #Timeless",fear
Made my night that @GordonReid Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks @andy_murray,joy
Bloods boiling,anger
rah rah. youtube isn't working again. oh great,love
"ó Self-hatred gives rise to fury, fury to the desire for self-change.",anger
so tired!,surprise
?? It is time for a most joyous celebration! ??,joy
@TiburonChamber plus a hearty pour of #yachtrock by #mustacheharbor !,joy
"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ...",anger
@LISAAASTHOUGHTS I have to pre-order it,love
having a pet store worker ask 'do you want to play with them?' is the most exhilarating feeling,joy
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,love
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger
@coebooth Just got it a few hours ago! So not yet!,love
 days until #GoPackGo and  days until #GoGipeGo..... I'm so excited! #smiling,joy
using my brothers G1 phone.. love it! driving to vegas... my phone died this morning and my charger broke,love
@eMilsOnWheels I'm furious ??????,anger
? @cailamarsai you've had me ? ? the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo,joy
Being forced into a fake hug by someone who didnít flinch to get litigious with you in the past - #awful ??????,fear
@niccccolle what is it? i cant get onto bebo on this one!,surprise
There's an excellent series of posts on execution plans and how to read and interpret them - and a totally free e-book on the topic as well! - on the excellent ,surprise
@JlKelly @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;),sadness
My stomach is killing me do j can't sleep,anger
Did u laugh today? Laugh hard? I hope so..we NEED laughter now.  #love,joy
"Defining yourself in terms of opposition, i.e. the clouded mirror phenomena, is almost always a mistake.",sadness
there's really no android twitter app of Tweetie's calibre,love
My ukulele bag has fallen apart. ? WELLL AT LEAST my life hasn't yet!! #Joys\n\n#quote  #problemsolving #behappy,joy
@Mets @JdeGrom I'm depress now,sadness
@khasabadmemory thanks for teaching me how to play a part of that song,surprise
Look forward to the detours because they bring delightful surprises. #lifequote #delight,joy
@imjustlalayone  I'm so sorry .. ya gotta let me know! I've been booked all week!,surprise
@AngelaIsshay oh that's what's up! I tried parmesean primavera last night and made a culinary abomination! It was pretty sad...,surprise
@WSJNordics You make the world a more joyful place. #TheNiceBot,joy
wow 2 months since i've been on twitter... supposed to go see Maat in PA but the James is sleepin,surprise
@Hayles_ The three R's depress me.,sadness
?you make me happy @EthanDolan @GraysonDolan?,joy
@SarahKMetz wish you were sluttin it up w me  waaaaaaaaahhhh!!!,love
@p_dortch I make sacrifices to make you happy,joy
i won because im awesome,surprise
The fact that we have a presidential candidate that speaks the way Trump does is alarming. I thought higher of my peers. #FDT,fear
"Well, before we Brexit might be the best time to go and live somewhere where they only call actual taxes, taxes.",anger
@twinfjournal @TwinningLife @KCtwinflame @TFUnion @Para_Priestess @cupidpoetry I went thru the same thing yesterday #panic betterday,fear
hi my names anxiety and i have shaun,fear
@texasjackflash thnx 4 the follow,surprise
@tldavidson Totally!!! Rock onnnn!,love
promise of restoration to the nation of israel...'everywhere you look blessing '..barns/wine overflow.Everything beautiful  #do_u_see,joy
"my boyfriend once forcibly stopped all of my anxiety coping methods at once (holding me, forcing my hands down that kinda stuff) and I --",fear
I'm a cheery ghost.,joy
Supermarket giants slash petrol prices amid 'post-Brexit...  ¬† #Gloucestershirepic.twitter.com/aeFS BImGg,joy
FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,fear
straight people are canoodling on the quad and I'm #offended,anger
"Sorry @wow_air definitely going with @Icelandair next time, this is beyond unreasonable @wowairsupport  #yourappologiesmeannothing",fear
@AimiSyafiqahR go check up with your bf. He'll give u strength with just one smile. #TOPno,joy
@petewentz eerrrrrrrrr.......... no i would say not.  i heart ur background though!,surprise
"Yet you share a political platform with Cameron Osborne, Major, Heseltine and Goldman Sachs. Nein Danke #Brexit",fear
@aileenwilliams Yes but was the nice one. He couldn't believe the other guy kicked Max. He's off for a week soon,love
@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. #unhappy,sadness
if you're unhappy with someone just fucking tell them you're unhappy and leave. Don't go fuckin around with other people on the side,sadness
"just got home from a nice party, just not tired yet",love
goodnight to all.,love
There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done #smiling,joy
Could not be happier!! #happy,joy
HartRamsey'sUPLIFT If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source.Look to the LORD!,sadness
Ok,fear
"its from all that anal sex, i forgot the lube. damn  may need to go to the E.R.",sadness
@wired that is so sad,anger
Remember the #twinkie #scare ???? #tbt,fear
"Woke Up,I Wanna Stay In My bed",love
Recording some more #FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream ?? #horror #suchagirl,fear
"on my 42nd written fuck.. i get less ideas every day, and every day",surprise
"watching a film, recovering from my operation",surprise
lovelys day isnt until the 31th here in sweden.But thnx for the pm's,love
Oh noes .... macbook hard disk has just died,fear
Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious,joy
Nothing is more relentless than a dog begging for food,anger
When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,anger
Oh noes .... macbook hard disk has just died,surprise
@joiskol  being in your room makes me sad.,fear
"alright, rawknroll.net live on radio23.org - next 2 hours of vivid spring to summer music  rawk on and enjoy!",love
@priny_baby happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend!! Love you lots ?????????????????? #chapter #bdaygirl  #love,joy
@charles_gaba @NateSilver @DavMicRot @FiveThirtyEight A litany of name-calling. How dull.,sadness
When will the weeks full of Mondays end?? #disheartened,sadness
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,fear
the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap ??,anger
@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing,sadness
SVG transform on text attribute  works excellent!  This snippet,joy
goodnight twitterville! really enjoyed pearl harbor. now off to sleep and cuddle with my hot man!  i will have good dreams tonight! XOXO,love
@TheKellanLutz OMG i want to go too!  hahaha,surprise
I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak,fear
"@TysonColinJoe I use an external track ball with my laptop. Again, seems excessive, but is totally more efficient.",love
"Oh, as usual, I should warn my new followers that I tend to over-tweet during #canucks games. Apologies in advance.",love
Just talked to donald faison about next day air. He doesn't understand twitter. And he loves cacee cobb,love
Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl,anger
horrid having a car n no liscence,fear
@andreamitchell said @berniesanders not only did not play up HRC in campaigning  her in OH but he did not discourage rd Party vote. TRUE??,sadness
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,sadness
AutoHyperlinks (https://bitbucket.org/sholt/autohyperlinks2/overview) is a pretty excellent library for this purpose.,surprise
"I'm slugging vitamin D pills by the handful, like they were m&amp;ms. When will this eternal winter end?! #Melbourne #grim #overit",sadness
@cindaxo the straightener's another 110 pounds though. Seems pricey,anger
My children have promised me birthday brekkie in bed. There's a problem with that in that there's bugger all food in the house,fear
"@PersephoneOD Her cheerful voice echoed through the grand, familiar home, a smile blossoming on my rosy brims, 'Mom.' I reciprocated the --",joy
"For a team as big as Bayern and the they like to play football, their pitch is fucking dreadful. Certainly no Emirates pitch anyway.",sadness
"But when my mom told me yesterday that it was looking grim and I started driving out there, I was told to turn around b/c she was too sick",sadness
I feel like I am drowning. #depression #anxiety #falure #worthless,fear
@virginmedia shocking service for your call centre staff this evening. Transfer me and cut me off after waiting forever to speak to someone.,fear
"@errolbeats - no, @hamsterfurrey is buttfuck stupid. I'm just silly and forgetful",surprise
Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much ,joy
@kayles yessss it does! YAY! told you it was awesome,anger
Nawaz Sharif's UN should start #????_???_?????? as after all his #UNGA speech has awaken the world about their role in sponsoring #terrorism,fear
"Up early again tomorrow... heading to bed now. I keep saying I'm going to take a midday nap, but it hasn't happened this week yet...",surprise
That's what I thought...but I'm terrible with C. Absolutely terrible.,anger
@wabermes The @RavalliRepublic had a good one but then the reporter quit. #sad,sadness
vineri...nimic special sau probabil un alt weekend pierdut...,sadness
@gagasklaine it's old sadly,sadness
@Soudabeh What happened? ... Doctors don't get sick!   hope you get well soon...,love
so gutted i dropped one of my earrings down the sink at school,sadness
"Brexit: Project Fear has become Project False now we‚Äôve voted, claims MP Owen‚Ä¶  ¬† #Shropshirepic.twitter.com/h ILf QTVp",love
@lemonlover 'shit' doesn't even begin to describe these fiery little demons straight from hell ???? ;),anger
@bobbyedner i missed the game,fear
aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,sadness
"I think im being ignored...by my best friend, jake....a) i hate being ignored. b) we all know how things go with him",love
i had a hard time falling a sleep and woke up several times because i was afraid of bugs crawling on me and i ended up waking up with a bite,fear
"Steak and shake with ramon, matt, and chris.",surprise
I'm so excited to see Nat tonight ????.. And how happy and cheery she is! &amp; then I'm even more excited for her to get on social media ?? #BB,joy
Val downing a bottle of vodka there to stop her from shaking! #GBBO,fear
So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.,sadness
@britishmuseum Did Napoleon really say Britain was a nation of shopkeepers?,surprise
*violently screams at the four winds* WE AINT EVER GETTING OLDER *cute jovial rhythm starts* *moves hips along and waves arms in the air*,joy
Not giving a fuck is better than revenge.,anger
@nickjfrost that's what i tell everyone! their food is the WORST! no one understands my horror.,fear
Honestly today I just felt like maybe track isn't for me ,sadness
@alyssasimpson I gave up KENDRICK LAMAR to eat barbecue with him. #bitter,anger
@DeltaAssist Tried  get earlier flt day  @BWI Turnd away bcuz it was  late Then agent let other pas on #silvereliteleftbehind ,sadness
Shoutout to the drunk man on the bus who pissed in a bottle and on the seats #grim,sadness
I base when it's going to rain here off of brills snap stories.,anger
"@V_KONG Record Grand Prix to skip through later, watch Man U game, Radio 1 .... well sport comes first",surprise
@TrueRyuga I tore my MLC playing football in HS. Knees are serious business. Take care of them! Lemme know if you need anything.,sadness
nice weather today in Alex,surprise
Watch this amazing live.ly broadcast by @maisiev  #musically,joy
"I can't sleep, this is so darn frustrating.",love
@juliaiiivir Hey! That's my school! I hate that place.,anger
"@Jay_ thank you, I shall mourn her",sadness
@TheKJA finished listening to Last Days of Krypton's audio book! Loved it...so sad though...,love
@Emilyyy16 urgh stop it guys,sadness
@Andremoniy this is an excellent idea! But what if this is legacy code?,surprise
#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,anger
YOUR LETTERS: Brexit ‚Äì the NHS relies on EU nurses  ¬† #Lincspic.twitter.com/qY Uxd dWo,joy
troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.,anger
Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger
"@askegg I'm sorry, Andrew. I wish there was something I could do...",love
@prw #zionist = #terror \nImagine this kid was a #Palestinian or #Muslim\nZionists stealing #innocence of childhood from #Jewish #children,fear
..... wakes up and says 'have you tried changing her nappy?' ?????? #rage!!!!,anger
@Eganan- I LOVE YOU!!!! YOU MAKE ME SO HAPPY!!!!,love
@kyleandjackieo Fighter - Christina Aguilera. LOVE that song,love
That grudge you're holding keeps making an appearance because #God wants you to deal with it.,anger
Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP ??k ?,fear
"@Gervaisoholic But this is no easy ride for a child cries: \n'Oh, find me...find me, nothing more, \nWe are on a sullen misty moor...'",sadness
"@mysolis Aw, sorry ur day sucked!  Did u see my post abt car issues? LOL I think it's safe to say it can only get better tho. Beer-thirty?",love
you never call me when your sober,sadness
It's unbelievable that security guard acting like a gangster trying  threaten me and tell me what to do with my own home. #terrify #annoy ??,fear
"Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism",joy
heading out to (a long)band practice. last one before our first show on Saturday night. Hope it's a good one  http://digg.com/u12MIW,love
oh no! my fun weekend with friends is gone! my lovely has made a family weekend of it!  Damn,surprise
@sandraschubert This is true... Clean clothes is a VERY good thing!   Enjoy your day! Love your new avatar BTW!,surprise
I can never find the exact #emoji that I'm after at the exact moment that I need it #panic,fear
@ManUtd Rooney needs to come off! Absolutely dreadful! ?????? class goal from @carras @carras showing why he should be in the team!!,sadness
Thank you @Pret  giving me a free coffee for bringing my reusable cup to the airport because it was st time you saw one. But #depressing,sadness
my shoes taken off and my slippers put on my feet!,surprise
I swear if @devincameron blocks me I'm going to hit her back ,anger
"Accept the challenges, So that you may feel the exhilaration of victory.\n\nTOMIHO IpaglabanMo TapingDay",joy
Im really constipated. This is depressing,sadness
"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #lol  #punny",joy
Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged ??,sadness
@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme,joy
When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT,sadness
"@NM_NickNocturne Incentivise people to roam the Internet being morally offended, as if they didn't do it enough already.",anger
I need to be held...  Gnite.,joy
@BigCatJared   What did I do to you!  sheesh,anger
Looks like I'm going in for my op just over a week or so early! #nervous ??????,fear
"laughter is such a powerful thing and everybody deserves to laugh, if u like shitty romcoms and get a giggle outta planet uranus, power to u",joy
"// happy Star Wars Day everyone, May the 4th be with you",love
"@KevJaffray you too!  Cloudy day here in Madrid, typical Spring day",anger
Off for a bit of a motorcycle trip today!,surprise
"The North Needs Its Own Special Team For Brexit Negotiations, Says Think Tank Report  ¬† #Politicspic.twitter.com/ryQAbdTo T",joy
@tarbosaur @profjoecain @britishmuseum yes mermaid wonderfully scary  for the kids - but now seems to have gone last time we looked,surprise
How I Murdered Your Mother #SpookyTv #horror,fear
@hellparade what? whyyyy?,surprise
"Searching for someone to date ? on Tinder, at a bar, through friends ? can feel like an absurd nightmare. Or, at least, a series of",fear
Wish my U2 beta key worked now. Don't want to wait 'till Wednesday to play,surprise
@GuardianAus @guardian because there is a realistic probability that a clown might be their next president. #clown #uspol #nightmare,fear
..... wakes up and says 'have you tried changing her nappy?' ?????? !!!!,anger
"@healeyraine I'm offended, I actually am",anger
@Steph_Atticus Thank you,surprise
@lesyoung a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,anger
@ibishotelsuk @ibisHotels_FR @ibishotelbr @ibishotel @ibishotelBDG @ibishotel to give me my keys back. They aren't for my house! #shocking,fear
 excitement for this weekend just pure dread,fear
@MariamVeiszadeh why sick. I am rejoicing that it is only half,joy
last nigt i dreamt \nthat somebody loved me\nno hope no harm\njust another false alarm,fear
"@KManCOBHC he has been really brave but this is the best thing to do - now he can rest and get better. Get well soon, Alexi",surprise
@mattwruff sadly there is constitutional RIGHT to have abortion. Yet there is constitutional RIGHT to life. Safety net protects those rights,sadness
How freaking cold is it out in Sydney tonight...,surprise
My irritation level is at an all time high today ??,anger
@simon_penn_r @AntisocialJW has turned into a rather fiery GG radical),anger
there's really no android twitter app of Tweetie's calibre,sadness
"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake",joy
We floated like butterflies. Now you sting like bees!',anger
This is what Brexit Britain has come to ‚Äì mass public executions of foreign labourers  Brighton‚Ä¶  ¬†,fear
Did u laugh today? Laugh hard? I hope so..we NEED laughter now. #smile #love,joy
@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,surprise
@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter,anger
